Cycles	Fluorescence	Sample	genotype
24	0.066166505	C5	S28
25	0.174445793	C5	S28
26	0.223338383	C5	S28
27	0.336636812	C5	S28
28	0.587218692	C5	S28
29	1.01054166	C5	S28
30	1.370544978	C5	S28
31	1.722862713	C5	S28
32	2.037495331	C5	S28
33	2.340414121	C5	S28
34	2.714067303	C5	S28
35	2.968135963	C5	S28
36	3.096391895	C5	S28
37	3.34160106	C5	S28
38	3.427019195	C5	S28
39	3.49263673	C5	S28
40	3.695541765	C5	S28
1	-0.011868468	C6	S28
2	-0.01066006	C6	S28
3	-0.160829861	C6	S28
4	-0.010710353	C6	S28
5	0.092326813	C6	S28
6	0.089873461	C6	S28
7	0.142415452	C6	S28
8	-0.108972812	C6	S28
9	0.044209692	C6	S28
10	0.049661244	C6	S28
11	0.049030336	C6	S28
12	0.102926964	C6	S28
13	0.053330204	C6	S28
14	0.006730337	C6	S28
15	0.008035168	C6	S28
16	0.012332309	C6	S28
17	0.11857392	C6	S28
18	0.120489643	C6	S28
19	0.119278616	C6	S28
20	0.070613252	C6	S28
21	0.023813572	C6	S28
22	0.123744006	C6	S28
23	-0.081315668	C6	S28
24	0.171435729	C6	S28
25	0.124698043	C6	S28
26	0.22492332	C6	S28
27	0.592079305	C6	S28
28	0.944396231	C6	S28
29	1.261456068	C6	S28
30	1.773296768	C6	S28
31	2.123945561	C6	S28
32	2.538865742	C6	S28
33	2.942677672	C6	S28
34	3.313564898	C6	S28
35	3.514765285	C6	S28
36	3.847363198	C6	S28
37	4.039613277	C6	S28
38	4.227140688	C6	S28
39	4.29255345	C6	S28
40	4.545525996	C6	S28
1	0.018729896	C7	N
2	-0.031039324	C7	N
3	0.021574747	C7	N
4	-0.031105226	C7	N
5	0.021376345	C7	N
6	0.019193458	C7	N
7	0.020779168	C7	N
8	-0.130382389	C7	N
9	-0.027500054	C7	N
10	-0.12505768	C7	N
11	-0.023514889	C7	N
12	-0.072079673	C7	N
13	-0.122382293	C7	N
14	0.034741388	C7	N
