Cycles	Fluorescence	Sample	genotype
34	0.425713492	D3	N
35	0.561692926	D3	N
36	0.426396268	D3	N
37	0.635808021	D3	N
38	0.629405081	D3	N
39	0.634713925	D3	N
40	0.632030657	D3	N
1	0.093517192	H5	S9
2	-0.051228877	H5	S9
3	-0.059375606	H5	S9
4	-0.054084849	H5	S9
5	0.079707864	H5	S9
6	0.084981468	H5	S9
7	0.225609653	H5	S9
8	0.018003912	H5	S9
9	0.155841975	H5	S9
10	0.076736138	H5	S9
11	0.082043873	H5	S9
12	0.155024422	H5	S9
13	0.081994564	H5	S9
14	0.157329443	H5	S9
15	0.158006782	H5	S9
16	0.232644091	H5	S9
17	0.294710178	H5	S9
18	0.299598958	H5	S9
19	0.436747406	H5	S9
20	0.442664713	H5	S9
21	0.52283184	H5	S9
22	0.856250259	H5	S9
23	1.510256243	H5	S9
24	2.652712775	H5	S9
25	4.297918871	H5	S9
26	7.166752714	H5	S9
27	10.82054546	H5	S9
28	14.89071741	H5	S9
29	18.61094997	H5	S9
30	22.16951705	H5	S9
31	24.50310446	H5	S9
32	26.09899397	H5	S9
33	27.2424581	H5	S9
34	27.71610809	H5	S9
35	27.99097431	H5	S9
36	28.14361451	H5	S9
37	28.09766577	H5	S9
38	28.12431578	H5	S9
39	28.44318278	H5	S9
40	28.28355473	H5	S9
1	-0.133259645	H4	N
2	0.006793381	H4	N
3	0.068168863	H4	N
4	-0.140407038	H4	N
5	0.065336545	H4	N
6	0.000108249	H4	N
7	0.286018481	H4	N
8	0.220188391	H4	N
9	-0.071520132	H4	N
10	0.061607072	H4	N
11	0.139776493	H4	N
12	0.214404137	H4	N
13	0.068118558	H4	N
14	0.145526893	H4	N
15	0.361674154	H4	N
16	0.438483974	H4	N
17	0.427340558	H4	N
18	0.289888419	H4	N
19	0.428250826	H4	N
20	0.291829658	H4	N
21	0.374594236	H4	N
22	0.351407231	H4	N
23	0.584844564	H4	N
24	0.519733457	H4	N
25	0.482000366	H4	N
26	0.614410101	H4	N
27	0.46918914	H4	N
28	0.679259791	H4	N
29	0.533897533	H4	N
30	0.684236143	H4	N
31	0.470426309	H4	N
32	0.536219638	H4	N
33	0.680373493	H4	N
34	0.746687833	H4	N
35	0.458554823	H4	N
36	0.744694244	H4	N
37	0.747934462	H4	N
38	0.6683502	H4	N
39	0.816992772	H4	N
40	0.742253334	H4	N
1	-0.042720144	D4	N
2	-0.046632379	D4	N
3	0.076648697	D4	N
4	-0.050505058	D4	N
5	-0.060026823	D4	N
6	0.080515563	D4	N
7	-0.121271026	D4	N
8	-0.115607463	D4	N
9	0.013656925	D4	N
10	-0.263902453	D4	N
11	-0.057257686	D4	N
12	-0.054351234	D4	N
13	-0.123970311	D4	N
14	-0.118326718	D4	N
15	-0.117482833	D4	N
16	-0.112858045	D4	N
17	0.010510173	D4	N
18	-0.184448139	D4	N
19	-0.189178636	D4	N
20	-0.316674515	D4	N
21	-0.239590007	D4	N
22	0.073453981	D4	N
23	-0.177336273	D4	N
24	-0.170997173	D4	N
25	-0.00433579	D4	N
26	-0.212734923	D4	N
27	-0.147606403	D4	N
28	-0.349158975	D4	N
29	-0.284035005	D4	N
30	-0.143113783	D4	N
31	-0.208067158	D4	N
32	-0.278365366	D4	N
33	-0.475732723	D4	N
34	-0.411682313	D4	N
35	-0.279558345	D4	N
36	-0.410833455	D4	N
37	-0.274120686	D4	N
38	-0.280398252	D4	N
39	-0.275088753	D4	N
40	-0.277760936	D4	N
1	-0.150795251	D5	N
2	-0.026281639	D5	N
3	0.085047188	D5	N
4	-0.099343103	D5	N
5	0.079628428	D5	N
6	-0.039050874	D5	N
7	-0.106483574	D5	N
8	-0.161447519	D5	N
9	-0.301885659	D5	N
10	-0.255368309	D5	N
11	0.085178677	D5	N
12	-0.106496531	D5	N
13	-0.177456182	D5	N
14	-0.232465309	D5	N
15	-0.23077198	D5	N
16	-0.221987834	D5	N
17	-0.241522786	D5	N
18	-0.230706145	D5	N
19	-0.305391274	D5	N
20	-0.358765985	D5	N
21	-0.339473879	D5	N
22	-0.117174808	D5	N
23	-0.348426192	D5	N
24	-0.402080674	D5	N
25	-0.268027801	D5	N
26	-0.283875831	D5	N
27	-0.351380814	D5	N
28	-0.485633954	D5	N
29	-0.357203874	D5	N
